abs_err,sq,smape,dir_ok,in80,in50,origin,actual,pred
0.025218385263741934,0.0006359669553105163,0.02554042945868723,1,1,1,2023-07-07,120100.0,117071.2719298246
0.02714777171392067,0.0007370015090311513,0.026784205959457675,1,1,1,2023-07-21,117200.0,120381.7188448715
0.02203067642993386,0.0004853507039604433,0.021790645104188905,0,1,1,2023-08-04,120000.0,122643.68117159206
0.00578259145572862,3.343836394386564e-05,0.00579935911797076,1,1,1,2023-08-18,122400.0,121692.21080581882
0.07135069915534961,0.005090922269957208,0.06889292014572407,0,1,1,2023-09-01,114700.0,122883.9251931186
0.01469326676008602,0.00021589208808304872,0.014586107972371287,1,1,1,2023-09-15,124700.0,126532.25036498273
0.003020231380279072,9.121797590422428e-06,0.0030156773585834763,1,1,1,2023-09-29,119100.0,119459.70955739124
0.03273710909172366,0.0010717183116834158,0.03328188544908615,1,1,1,2023-10-13,130500.0,126227.80726353006
0.035161815871278694,0.0012363532953657062,0.03579105511619592,1,1,1,2023-10-27,128000.0,123499.28756847633
0.04915511594273597,0.0024162254233438163,0.047975983428781704,0,1,1,2023-11-10,127500.0,133767.27728269884
0.06789515000914871,0.004609751394764806,0.07028102021427067,1,1,1,2023-11-24,140600.0,131053.94190871369
0.05106440697400143,0.0026075736596064456,0.05240235455366352,1,1,1,2023-12-08,137500.0,130478.6440410748
0.012868973616322082,0.00016561048193759384,0.012786697778148642,1,1,1,2023-12-22,141300.0,143118.3859719863
0.04370408927873335,0.0019100474196834954,0.04276948850668245,0,1,1,2024-01-05,134900.0,140795.68164370113
0.0019087246133006074,3.6432296494195536e-06,0.0019069047352988655,1,1,1,2024-01-19,146800.0,147080.20077323253
0.09510604136254483,0.009045159103654088,0.09985442069496918,1,1,1,2024-02-02,156200.0,141344.4363391705
0.04998854238715694,0.0024988543699925865,0.05126999863718926,1,1,1,2024-02-16,161200.0,153141.8469671903
0.11459307763535677,0.013131573441942903,0.1215579260647205,1,1,1,2024-03-01,183000.0,162029.4667927297
0.11449027421346486,0.013108022889474377,0.1214422526149586,1,1,1,2024-03-15,187400.0,165944.5226123967
0.07936612903169654,0.006298982437475904,0.07633684893064518,0,1,1,2024-03-29,177800.0,191911.29774183565
0.09088218984779073,0.008259572431529876,0.08693190873121995,0,1,1,2024-04-12,179900.0,196249.70595361755
0.06398417918617245,0.0040939751861282245,0.0660988185099396,1,1,1,2024-04-26,198600.0,185892.74201362615
0.09903059793027126,0.009807059326427047,0.10418957593157385,1,1,1,2024-05-10,207500.0,186951.1509294687
0.11632871244066846,0.013532369338103733,0.12351275215475127,1,1,0,2024-05-24,234000.0,206779.08128888358
0.07777969978468345,0.0060496816985954865,0.0809269361851719,1,1,1,2024-06-07,236000.0,217643.9908508147
0.15749662200768805,0.024805185943832568,0.14599941469305977,0,0,0,2024-06-21,209500.0,242495.54231061065
0.4023847716250148,0.1619135044357153,0.3349877807898647,0,0,0,2024-07-05,173200.0,242893.04244545256
0.08483363451868639,0.007196745545650059,0.08138168256122887,0,1,0,2024-07-19,199700.0,216641.27681338167
0.07846590881766234,0.006156898846581701,0.07550367651908975,1,1,1,2024-08-02,173700.0,187329.52836162795
0.2786391633250453,0.07763978333848126,0.2445662900996122,0,0,0,2024-08-16,162800.0,208162.45578931738
0.001772639706063703,3.1422515275136116e-06,0.001771069971586777,1,1,1,2024-08-30,183800.0,184125.8111779745
0.07156941415341377,0.0051221810422628624,0.07422555385574804,1,1,1,2024-09-13,186000.0,172688.08896746504
0.0626303005844774,0.00392255455130199,0.06465498103265689,1,1,1,2024-09-27,201000.0,188411.30958252004
0.04543041042699461,0.0020639221915651805,0.0464863575790303,1,1,1,2024-10-11,200500.0,191391.20270938758
0.1808441525128996,0.03270460749810889,0.16584784594031637,0,0,0,2024-10-25,176700.0,208655.16174902936
0.2680745600307331,0.07186396973567112,0.23638954799360792,0,0,0,2024-11-08,167100.0,211895.2589811355
0.0823902786262957,0.006788158012118637,0.07913048718287971,0,1,1,2024-11-22,168500.0,182382.76194853082
0.05025045952092503,0.002525108682064125,0.05154555339305574,1,1,1,2024-12-06,181900.0,172759.44141314374
0.18983026025444757,0.0360355277082713,0.20973752470431992,1,1,0,2024-12-20,214500.0,173781.409175421
0.05312394166871003,0.0028221531784205062,0.05457352196753987,1,1,1,2025-01-03,199200.0,188617.71081959296
0.07221191669744273,0.005214560913118408,0.06969549409071,0,1,1,2025-01-17,210000.0,225164.50250646297
0.10930353488387581,0.011947262738110656,0.10363945546594207,0,1,0,2025-01-31,190200.0,210989.53233491318
0.06708984563003316,0.0045010473866616794,0.06491236534480163,0,1,1,2025-02-14,204500.0,218219.87343134178
0.017295376681690865,0.0002991300545615761,0.017147093957197827,1,1,1,2025-02-28,199300.0,202746.968572661
0.1840607167519479,0.0338783474512408,0.16854908413505645,0,0,0,2025-03-14,180800.0,214078.17758875218
0.13172049610121137,0.01735028909314924,0.12358139478615535,0,1,0,2025-03-28,184400.0,208689.25948106337
0.028110142180818056,0.0007901800934258065,0.028510864406906134,1,1,1,2025-04-11,190100.0,184756.2619714265
0.03391655071747547,0.001150332412571086,0.03450163901217165,1,1,1,2025-04-25,200000.0,193216.6898565049
0.11190630465051349,0.012523021020533537,0.11853893154364843,1,1,1,2025-05-09,224500.0,199377.03460595972
0.17419669453688225,0.03034448838757586,0.19081649596717867,1,1,0,2025-05-23,257000.0,212231.44950402126
0.1268913276599414,0.016101409035302612,0.13548741675667667,1,1,0,2025-06-06,270500.0,236175.89586798585
0.017637098705728424,0.00031106725075560725,0.017482924671678817,1,1,1,2025-06-20,269000.0,273744.37955184095
0.11013322067014014,0.012129326295177784,0.10438508771987753,0,1,0,2025-07-04,258000.0,286414.37093289616
0.016480302625209442,0.0002716003746184852,0.016345612306506656,1,1,1,2025-07-18,276500.0,281056.8036758704
0.004593000215045904,2.109565097541172e-05,0.004603572319372332,1,1,1,2025-08-01,269000.0,267764.48294215265
0.11581593417336199,0.013413330608448517,0.12293484089363708,1,1,1,2025-08-15,328500.0,290454.4656240506
0.16290307864758485,0.026537413032861216,0.17734837694644937,1,1,1,2025-08-29,336500.0,281683.1140350877
0.17354300624840713,0.030117175017734674,0.19003240354643666,1,1,1,2025-09-12,428000.0,353723.59332568175
0.30253389663182384,0.09152675861123508,0.35645353510332217,1,1,0,2025-09-26,510000.0,355707.71271776984
0.2084000416582368,0.04343057736315484,0.2326412664701376,1,1,0,2025-10-10,580000.0,459127.97583822266
0.06798029997961903,0.004621321185318991,0.06574559726733278,1,1,1,2025-10-24,521000.0,556417.7362893815
0.144619000994757,0.020914655448721526,0.1348668466778268,0,1,0,2025-11-07,544000.0,622672.7365411478
0.04008020216836279,0.0016064226058568334,0.03929277106435551,1,1,1,2025-11-21,547000.0,568923.8705860944
0.13427372010755959,0.01802943191152325,0.14393721260687875,1,1,1,2025-12-05,677000.0,586096.6914871822
0.2209834456130959,0.04883368323503612,0.24843326507352553,1,1,0,2025-12-19,756000.0,588936.5151164995
0.19498941795979752,0.038020873116300605,0.21605349010131686,1,1,0,2026-01-02,909000.0,731754.619074544
0.06498980392994629,0.0042236746148528615,0.06717257000706103,1,1,1,2026-01-16,880000.0,822808.9725416473
0.04928990615519865,0.0024294948487882896,0.05053534742115314,1,1,1,2026-01-30,1061000.0,1008703.4095693342
0.05259734646748895,0.002766480855421072,0.051249551265384566,1,1,1,2026-02-13,910000.0,957863.5852854149
0.24907891962908973,0.062040308203594546,0.22149415696819297,0,0,0,2026-02-27,933000.0,1165390.6320139407
0.03544455302289996,0.001256316338993167,0.036084044436047034,1,1,1,2026-03-13,1027000.0,990598.4440454817
0.1697428107928427,0.028812621815854797,0.18548520043390512,1,1,1,2026-03-27,1222000.0,1014574.2852111462
