abs_err,sq,smape,dir_ok,in80,in50,origin,actual,pred
0.03284126984126973,0.0010785490047870924,0.03338954740944546,1,1,1,2023-07-07,120000.0,116059.04761904763
0.011238686405675942,0.00012630807212512523,0.011302197331427432,1,1,1,2023-07-21,122400.0,121024.38478394526
0.08949315088159723,0.008009024054716327,0.08566015240953372,0,1,1,2023-08-04,114700.0,124964.8644061192
0.01104610961598947,0.00012201653764845503,0.0111074567081661,1,1,1,2023-08-18,124700.0,123322.55013088611
0.06668275539600892,0.004446589867203956,0.06453119640341844,0,1,1,2023-09-01,119100.0,127041.91616766466
0.01379212495182276,0.000190222710686692,0.013887896755507749,1,1,1,2023-09-15,130500.0,128700.12769378713
0.06753439319213249,0.004560894263829551,0.06989453572080777,1,1,1,2023-09-29,128000.0,119355.59767140704
0.025581162802460398,0.0006543958903259835,0.025258097056025133,1,1,1,2023-10-13,127500.0,130761.5982573137
0.1103981287318875,0.012187746827502403,0.11684803069950314,1,1,1,2023-10-27,140600.0,125078.02310029662
0.013477675941650417,0.00018164774878814247,0.01356911601588882,1,1,1,2023-11-10,137500.0,135646.81955802307
0.06937729264959441,0.004813208735387467,0.07187037880105335,1,1,1,2023-11-24,141300.0,131496.9885486123
0.01683613767371445,0.000283455531768267,0.01697906864233132,1,1,1,2023-12-08,134900.0,132628.80502781592
0.008075256556830118,6.52097684586278e-05,0.008042782789601672,1,1,1,2023-12-22,146800.0,147985.44766254266
0.07359001168583541,0.005415489819921393,0.07640119406797234,1,1,1,2024-01-05,156200.0,144705.2401746725
0.0725782528032089,0.0052676027799665,0.07531123160643532,1,1,1,2024-01-19,161200.0,149500.38564812273
0.21592948753298788,0.04662554358625877,0.24206384896121697,1,1,1,2024-02-02,183000.0,143484.90378146322
0.15951139017350005,0.025443883595082567,0.1733359166928362,1,1,1,2024-02-16,187400.0,157507.5654814861
0.06171310772484284,0.0038085076650580573,0.06367799108665913,1,1,1,2024-03-01,177800.0,166827.40944652294
0.05726596455715084,0.0032793906966608563,0.05895399319968878,1,1,1,2024-03-15,179900.0,169597.85297616856
