date,open,high,low,close,volume,ret
2021-07-16,122000.0,122500.0,120500.0,121500.0,2905546.0,
2021-07-23,119000.0,120000.0,116500.0,118500.0,10668197.0,-0.024691358024691357
2021-07-30,119500.0,120000.0,112500.0,112500.0,16729336.0,-0.05063291139240511
2021-08-06,113500.0,123000.0,113000.0,118000.0,18537247.0,0.04888888888888898
2021-08-13,117500.0,118000.0,98900.0,101500.0,52664818.0,-0.13983050847457623
2021-08-20,101000.0,105500.0,100500.0,102500.0,26779493.0,0.009852216748768461
2021-08-27,104500.0,106500.0,101000.0,103500.0,19367520.0,0.009756097560975618
2021-09-03,105000.0,108500.0,102000.0,107000.0,16769268.0,0.033816425120772875
2021-09-10,106500.0,107500.0,103000.0,105000.0,12559909.0,-0.01869158878504673
2021-09-17,105000.0,108500.0,104000.0,107000.0,14309727.0,0.01904761904761898
2021-09-24,105500.0,107000.0,104000.0,104000.0,4730267.0,-0.028037383177570097
2021-10-01,104000.0,105500.0,99600.0,100000.0,17736961.0,-0.038461538461538436
2021-10-08,98900.0,99500.0,93500.0,94000.0,13994885.0,-0.06000000000000005
2021-10-15,92400.0,98500.0,90500.0,98400.0,14418040.0,0.04680851063829783
2021-10-22,98300.0,99200.0,95500.0,98500.0,9637157.0,0.00101626016260159
2021-10-29,99500.0,108500.0,98300.0,103000.0,19605285.0,0.045685279187817285
2021-11-05,103500.0,109000.0,102500.0,107000.0,13710046.0,0.03883495145631066
2021-11-12,107000.0,110000.0,104000.0,106500.0,12531992.0,-0.004672897196261627
2021-11-19,108500.0,113000.0,108000.0,111500.0,15784929.0,0.04694835680751175
2021-11-26,116500.0,122500.0,113000.0,115500.0,26312644.0,0.03587443946188351
2021-12-03,113000.0,120500.0,112000.0,118000.0,27624967.0,0.02164502164502169
2021-12-10,116000.0,125000.0,115500.0,120500.0,23743530.0,0.021186440677966045
2021-12-17,121000.0,125500.0,120000.0,122000.0,15931041.0,0.012448132780082943
2021-12-24,121500.0,130000.0,120500.0,128000.0,15204135.0,0.049180327868852514
2021-12-31,128500.0,133500.0,124500.0,131000.0,15775339.0,0.0234375
2022-01-07,129500.0,130000.0,121500.0,127000.0,18033011.0,-0.03053435114503822
2022-01-14,126500.0,130000.0,123000.0,128500.0,18885790.0,0.011811023622047223
2022-01-21,127500.0,128500.0,118000.0,119000.0,23339878.0,-0.07392996108949412
2022-01-28,116500.0,121500.0,111000.0,120500.0,22042331.0,0.012605042016806678
2022-02-04,124500.0,127000.0,124000.0,124500.0,8208275.0,0.03319502074688807
2022-02-11,123000.0,132500.0,119500.0,132000.0,18131197.0,0.06024096385542177
2022-02-18,130000.0,134000.0,127000.0,131500.0,22101423.0,-0.0037878787878787845
2022-02-25,131500.0,131500.0,122000.0,123000.0,9057694.0,-0.06463878326996197
2022-03-04,123000.0,129500.0,123000.0,129000.0,5991437.0,0.04878048780487809
2022-03-11,119000.0,121000.0,116500.0,118000.0,8822331.0,-0.0852713178294574
2022-03-18,115500.0,125000.0,114500.0,124000.0,7665512.0,0.05084745762711873
2022-03-25,124000.0,124500.0,118000.0,118000.0,16062284.0,-0.048387096774193505
2022-04-01,117500.0,123000.0,116000.0,116000.0,18455942.0,-0.016949152542372836
2022-04-08,115000.0,118000.0,110500.0,112000.0,18410385.0,-0.03448275862068961
2022-04-15,111000.0,113000.0,107000.0,108000.0,16023151.0,-0.0357142857142857
2022-04-22,107000.0,115000.0,106500.0,110500.0,14157330.0,0.02314814814814814
2022-04-29,109000.0,112500.0,107500.0,112500.0,15070530.0,0.018099547511312153
2022-05-06,110000.0,112000.0,106500.0,107500.0,9910202.0,-0.0444444444444444
2022-05-13,107000.0,112500.0,107000.0,112500.0,15936388.0,0.04651162790697683
2022-05-20,113500.0,115000.0,110000.0,112500.0,15635327.0,0.0
2022-05-27,113000.0,113500.0,101500.0,106000.0,24012911.0,-0.05777777777777782
2022-06-03,108000.0,108500.0,105500.0,107000.0,10814624.0,0.009433962264151052
2022-06-10,105500.0,107500.0,102500.0,103500.0,14371084.0,-0.032710280373831724
2022-06-17,100000.0,101500.0,95000.0,96400.0,17730664.0,-0.06859903381642507
2022-06-24,96700.0,96800.0,89700.0,91600.0,15632440.0,-0.049792531120331995
2022-07-01,92700.0,96100.0,87100.0,87500.0,16019718.0,-0.04475982532751088
2022-07-08,87500.0,96500.0,86300.0,94800.0,18018411.0,0.08342857142857141
2022-07-15,95000.0,99000.0,91700.0,98700.0,14000444.0,0.04113924050632911
2022-07-22,101000.0,104500.0,98700.0,100000.0,16525457.0,0.01317122593718345
