date,h_close,h_ret,h_vol,h_atr,h_mom4,h_mom12,h_dd,samsung_ret,samsung_mom4,nvda_ret,nvda_mom4,soxx_ret,soxx_mom4,qqq_ret,qqq_mom4,usdkurw_ret,usdkurw_mom4
2021-10-15,98400.0,0.04680851063829783,0.05416575087426841,6.7871660859465734,-0.0803738317757009,-0.16962025316455698,-0.19012345679012344,-0.01958041958041956,-0.09196891191709844,0.04949355135580524,-0.0017351647248143864,0.023965201869693642,-0.0315777884470011,0.021541695371604996,-0.013080770153557686,-0.0075725301988613936,0.00656490918836794
2021-10-22,98500.0,0.00101626016260159,0.05302657026533521,6.903553299492386,-0.05288461538461542,-0.12444444444444447,-0.18930041152263377,0.004279600570613384,-0.08926261319534279,0.03952064494244634,0.029210655135100794,0.017019266005854572,-0.02301191831436089,0.013986023819493099,0.002062570805843711,-0.00472025583619351,0.0015749533780131664
2021-10-29,103000.0,0.045685279187817285,0.05271217416558387,6.9625520110957,0.030000000000000027,-0.1271186440677966,-0.15226337448559668,-0.008522727272727293,-0.04644808743169404,0.12501098408229172,0.23261974354980164,0.027515668734161336,0.06381122522370553,0.03210365958861727,0.07199176301589394,-0.00780251866045234,-0.013812367781736112
2021-11-05,107000.0,0.03883495145631066,0.03490826659708495,6.635514018691589,0.13829787234042556,0.054187192118226646,-0.11934156378600824,0.005730659025787954,-0.018181818181818188,0.16368762333105136,0.4282560463850793,0.0877735738925709,0.16396878917813473,0.03234834950093468,0.1036659709319141,0.01581329057172387,-0.004466329387846857
2021-11-12,106500.0,-0.004672897196261627,0.03497530798818609,6.364855801475519,0.08231707317073167,0.039024390243902474,-0.12345679012345678,0.005698005698005604,0.007132667617689048,0.021443888262658195,0.3900832526026907,0.014255584971335278,0.15293160646535364,-0.009784229394797284,0.06982167722437782,-0.00229372743472811,0.0008289955120859283
2021-11-19,111500.0,0.04694835680751175,0.03713625530517869,5.2722613709160795,0.13197969543147203,0.07729468599033806,-0.08230452674897115,0.008498583569405138,0.011363636363636465,0.08538997278121196,0.4514213171683452,0.026849960954809404,0.16407605505056289,0.02353680704339811,0.0798983791585095,-0.00017746527381190536,0.00539711471880211
2021-11-26,115500.0,0.03587443946188351,0.03727655959657558,5.460729746444032,0.12135922330097082,0.07943925233644866,-0.04938271604938271,0.015449438202247201,0.035816618911174825,-0.04492952322356658,0.23217432452201958,-0.03527924256971504,0.09293548284116881,-0.031659145861321014,0.01318284180305307,0.006188136053753457,0.019573893179979818
2021-12-03,118000.0,0.02164502164502169,0.03655808137569701,5.526634382566586,0.10280373831775691,0.12380952380952381,-0.028806584362139898,0.045643153526971014,0.07692307692307687,-0.025711819803598157,0.031628124467701246,0.01098821678129136,0.015785749327017706,-0.020628852434564693,-0.03881084040095473,-0.01130039110663672,-0.0076401649976699515
2021-12-10,120500.0,0.021186440677966045,0.03660930201036485,5.589804386484884,0.13145539906103276,0.12616822429906538,-0.008230452674897082,0.01719576719576721,0.0892351274787535,-0.016127482697583573,-0.0063178492688684695,0.027934546186479725,0.029485347410407314,0.03883800457592401,0.008386109592663393,0.00047582493957532,-0.004885453904065806
2021-12-17,122000.0,0.012448132780082943,0.034534756233052306,5.5796252927400465,0.094170403587444,0.17307692307692313,0.0,0.014304291287386306,0.09550561797752799,-0.07937609652176991,-0.15716234407562546,-0.043387986058116446,-0.040932863654001506,-0.03291376041328653,-0.04722885970812385,0.0074915857818922404,0.002747484937799305
2021-12-24,128000.0,0.049180327868852514,0.03158614475456692,5.597098214285714,0.10822510822510822,0.28,0.0,0.03205128205128216,0.1134163208852006,0.06614865491137278,-0.05913725214775756,0.04869116156581632,0.042545442800806965,0.031202124266346498,0.01462167955576632,-0.0005480119720805421,-0.003965628891554163
2021-12-31,131000.0,0.0234375,0.01858207706837306,5.796074154852781,0.11016949152542366,0.3936170212765957,0.0,-0.027329192546583836,0.03571428571428581,-0.007726049131860369,-0.04176852905287187,0.0027920696959373714,0.03409345923608709,0.002343022887029589,0.03842038220213406,0.0037030912260123117,0.011149158203753062
2022-01-07,127000.0,-0.03053435114503822,0.024126719746963315,6.181102362204725,0.053941908713692976,0.29065040650406515,-0.03053435114503822,0.0,0.01820546163849146,-0.07357789973614504,-0.09772171064628099,-0.03886998750164705,-0.03311133662420929,-0.045218098469181234,-0.045601929521195794,0.013354187742412815,0.024164910691243824
